id;atomNum;name;shortName;link;type;license ;logo
1;1;GitHub;Gh;github.com;source;fm;01_github.png
2;null;;;;;;
3;null;;;;;;
4;null;;;;;;
5;null;;;;;;
6;null;;;;;;
7;null;;;;;;
8;null;;;;;;
9;null;;;;;;
10;null;;;;;;
11;null;;;;;;
12;null;;;;;;
13;null;;;;;;
14;null;;;;;;
15;null;;;;;;
16;null;;;;;;
17;null;;;;;;
18;2;Splunk;Sp;TBD;aiops;en;02_splunk.png
19;3;Subversion;Sv;subversion.com;source;os;03_subversion.png
20;4;Datical;Dt;TBD;database;en;04_datical.png
21;null;;;;;;
22;null;;;;;;
23;null;;;;;;
24;null;;;;;;
25;null;;;;;;
26;null;;;;;;
27;null;;;;;;
28;null;;;;;;
29;null;;;;;;
30;null;;;;;;
31;5;XebiaLabs XL Release;XLr;TBD;release;en;05_xebialabs xl release.png
32;6;AWS;Aws;TBD;cloud;fm;06_aws.png
33;7;Azure;Az;TBD;cloud;pd;07_azure.png
34;8;Google Cloud;Gc;TBD;cloud;en;08_google cloud.png
35;9;OpenShift;Op;TBD;cloud;fm;09_openshift.png
36;10;Sumo Logic;Sg;TBD;aiops;fm;010_sumo logic.png
37;11;GitLab;Gl;gitlab.com;source;os;011_gitlab.png
38;12;DBMaestro;Db;TBD;database;en;012_dbmaestro.png
39;null;;;;;;
40;null;;;;;;
41;null;;;;;;
42;null;;;;;;
43;null;;;;;;
44;null;;;;;;
45;null;;;;;;
46;null;;;;;;
47;null;;;;;;
48;null;;;;;;
49;13;Docker;Dk;TBD;containers;os;013_docker.png
50;14;UrbanCode Release;Ur;TBD;release;en;014_urbancode release.png
51;15;Azure Functions;Af;TBD;cloud;pd;015_azure functions.png
52;16;Lambda;Ld;TBD;cloud;pd;016_lambda.png
53;17;IBM Cloud;Ic;TBD;cloud;fm;017_ibm cloud.png
54;18;Fluentd;Fd;TBD;aiops;os;018_fluentd.png
55;19;ISPW;Cw;TBD;source;en;019_ispw.png
56;20;Delphix;Dp;TBD;database;en;020_delphix.png
57;21;Jenkins;Jn;TBD;ci;os;021_jenkins.png
58;22;Codeship;Cs;TBD;ci;fm;022_codeship.png
59;23;FitNesse;Fn;TBD;testing;os;023_fitnesse.png
60;24;Junit;Ju;TBD;testing;fr;024_junit.png
61;25;Karma;Ka;TBD;testing;fr;025_karma.png
62;26;SoapUI;Su;TBD;testing;fm;026_soapui.png
63;27;Chef;Ch;TBD;configuration;en;027_chef.png
64;28;Terraform;Tf;TBD;configuration;fr;028_terraform.png
65;29;XebiaLabs XL Deploy;XLd;TBD;deployment;en;029_xebialabs xl deploy.png
66;30;UrbanCode Deploy;Ud;TBD;deployment;en;030_urbancode deploy.png
67;31;Kubernetes;Ku;TBD;containers;os;031_kubernetes.png
68;32;CA CD Director;Cc;TBD;release;fm;032_ca cd director.png
69;33;Plutora Release;Pr;TBD;release;en;033_plutora release.png
70;34;Alibaba Cloud;Al;TBD;cloud;pd;034_alibaba cloud.png
71;35;OpenStack;Os;TBD;cloud;os;035_openstack.png
72;36;Prometheus;Ps;TBD;aiops;os;036_prometheus.png
73;37;Artifactory;At;TBD;source;pd;037_artifactory.png
74;38;Redgate;Rg;TBD;database;fm;038_redgate.png
75;39;Bamboo;Ba;TBD;ci;pd;039_bamboo.png
